frame,timestamp,box_pixels_stride2,dynamic_mask_pixels_stride2,intersection_pixels_stride2,box_recall,mask_precision_to_box,global_mask_fraction,odom_dt,box_odom_dt,box_x,box_y,box_z
1,539.111,0,0,0,nan,nan,0.0,0.006999999999948159,0.0049999999999954525,-6.99998334804765,-4.60000000000017,0.30999999995146804
2,539.16,0,4903,0,nan,0.0,0.06384114583333333,0.012000000000057298,0.004000000000019099,-6.999983275647857,-4.620000000000159,0.30999999995146804
3,539.211,0,5657,0,nan,0.0,0.07365885416666666,0.0049999999999954525,0.0049999999999954525,-6.999983167048168,-4.6500000000001425,0.30999999995146804
4,539.26,0,5580,0,nan,0.0,0.07265625,0.014000000000010004,0.004000000000019099,-6.999983094648375,-4.670000000000131,0.30999999995146804
5,539.31,0,9968,0,nan,0.0,0.12979166666666667,0.0019999999999527063,0.0039999999999054126,-6.999983004148634,-4.6950000000001175,0.30999999995146804
6,539.36,0,8964,0,nan,0.0,0.11671875,0.01599999999996271,0.004000000000019099,-6.999982913648893,-4.720000000000104,0.30999999995146804
7,539.412,0,8022,0,nan,0.0,0.104453125,0.002000000000066393,0.004000000000019099,-6.9999828050492034,-4.750000000000087,0.30999999995146804
8,539.46,0,7601,0,nan,0.0,0.09897135416666666,0.016000000000076398,0.004000000000019099,-6.999982732649411,-4.770000000000076,0.30999999995146804
9,539.51,0,10437,0,nan,0.0,0.1358984375,0.0019999999999527063,0.004000000000019099,-6.99998264214967,-4.795000000000062,0.30999999995146804
10,539.561,0,7896,0,nan,0.0,0.1028125,0.014999999999986358,0.0049999999999954525,-6.99998253354998,-4.8250000000000455,0.30999999995146804
11,539.611,0,7340,0,nan,0.0,0.09557291666666666,0.0030000000000427463,0.0049999999999954525,-6.999982443050239,-4.850000000000032,0.30999999995146804
12,539.661,0,5865,0,nan,0.0,0.0763671875,0.012999999999919964,0.0049999999999954525,-6.9999823706504465,-4.8700000000000205,0.30999999995146804
13,539.711,0,2642,0,nan,0.0,0.03440104166666667,0.0049999999999954525,0.0049999999999954525,-6.999982262050757,-4.900000000000004,0.30999999995146804
14,539.761,0,6457,0,nan,0.0,0.08407552083333333,0.010999999999967258,0.0049999999999954525,-6.999982171551016,-4.92499999999999,0.30999999995146804
15,539.811,0,6498,0,nan,0.0,0.084609375,0.006999999999948159,0.0049999999999954525,-6.999982081051275,-4.949999999999976,0.30999999995146804
16,539.86,0,4683,0,nan,0.0,0.0609765625,0.008000000000038199,0.004000000000019099,-6.999982008651482,-4.969999999999965,0.30999999995146804
17,539.911,0,5429,0,nan,0.0,0.07069010416666667,0.009000000000014552,0.0049999999999954525,-6.999981918151741,-4.994999999999951,0.30999999995146804
18,539.961,0,13236,0,nan,0.0,0.17234375,0.007000000000061846,0.0049999999999954525,-6.999981918151741,-4.994999999999951,0.30999999995146804
19,540.01,0,6696,0,nan,0.0,0.0871875,0.012000000000057298,0.004000000000019099,-6.999981990551534,-4.974999999999962,0.30999999995146804
20,540.061,0,8166,0,nan,0.0,0.106328125,0.0049999999999954525,0.0049999999999954525,-6.999982099151223,-4.944999999999979,0.30999999995146804
21,540.11,0,8764,0,nan,0.0,0.11411458333333334,0.014000000000010004,0.004000000000019099,-6.999982171551016,-4.92499999999999,0.30999999995146804
22,540.16,0,13569,0,nan,0.0,0.1766796875,0.0019999999999527063,0.004000000000019099,-6.999982262050757,-4.900000000000004,0.30999999995146804
23,540.21,0,7241,0,nan,0.0,0.09428385416666667,0.01599999999996271,0.004000000000019099,-6.999982352550498,-4.875000000000018,0.30999999995146804
24,540.261,0,8535,0,nan,0.0,0.1111328125,0.0009999999999763531,0.0049999999999954525,-6.9999824611501875,-4.845000000000034,0.30999999995146804
25,540.311,0,10820,0,nan,0.0,0.14088541666666668,0.016999999999939064,0.0049999999999954525,-6.9999825516499286,-4.820000000000048,0.30999999995146804
26,540.361,0,8091,0,nan,0.0,0.1053515625,0.0009999999999763531,0.0049999999999954525,-6.99998264214967,-4.795000000000062,0.30999999995146804
27,540.411,0,9677,0,nan,0.0,0.12600260416666667,0.014999999999986358,0.0049999999999954525,-6.999982714549462,-4.775000000000073,0.30999999995146804
28,540.46,0,14146,0,nan,0.0,0.18419270833333334,0.004000000000019099,0.004000000000019099,-6.9999828050492034,-4.750000000000087,0.30999999995146804
